iter	Passed	Remaining
266	1024	2812
267	1028	2808
268	1031	2803
269	1034	2797
270	1037	2791
271	1040	2785
272	1044	2780
273	1047	2775
274	1050	2769
275	1053	2763
276	1056	2758
277	1059	2752
278	1062	2745
279	1065	2739
280	1068	2735
281	1072	2730
282	1075	2724
283	1078	2719
284	1081	2714
285	1085	2709
286	1088	2703
287	1091	2697
288	1094	2692
289	1097	2686
290	1100	2680
291	1103	2676
292	1106	2670
293	1109	2664
294	1113	2659
295	1115	2653
296	1118	2647
297	1121	2642
298	1124	2637
299	1128	2632
300	1131	2627
301	1134	2621
302	1137	2616
303	1140	2611
304	1143	2605
305	1146	2600
306	1149	2595
307	1152	2590
308	1155	2584
309	1158	2579
310	1162	2574
311	1165	2569
312	1168	2564
313	1171	2560
314	1174	2554
315	1178	2550
316	1181	2545
317	1184	2540
318	1187	2535
319	1191	2531
320	1194	2526
321	1197	2521
322	1200	2516
323	1203	2511
324	1207	2507
325	1210	2502
326	1213	2497
327	1216	2492
328	1219	2487
329	1222	2482
330	1226	2478
331	1228	2472
332	1231	2467
333	1234	2462
334	1238	2457
335	1241	2452
336	1244	2447
337	1247	2442
338	1250	2438
339	1253	2433
340	1257	2429
341	1260	2424
342	1262	2419
343	1266	2414
344	1269	2410
345	1272	2405
346	1276	2401
347	1279	2396
348	1282	2392
349	1285	2388
350	1288	2383
351	1291	2377
352	1295	2373
353	1298	2369
354	1301	2365
355	1304	2360
356	1308	2356
357	1311	2351
358	1314	2346
359	1317	2341
360	1320	2337
361	1323	2332
362	1326	2328
363	1329	2323
364	1333	2319
365	1336	2315
366	1339	2310
367	1343	2306
368	1346	2301
369	1350	2298
370	1353	2294
371	1356	2289
372	1360	2286
373	1363	2281
374	1366	2277
375	1369	2272
376	1371	2267
377	1374	2262
378	1377	2257
379	1380	2253
380	1383	2248
381	1387	2244
382	1390	2239
383	1393	2235
384	1396	2230
385	1399	2226
386	1402	2222
387	1405	2217
388	1408	2212
389	1411	2207
390	1414	2203
391	1417	2198
392	1420	2193
393	1423	2188
394	1426	2184
395	1429	2179
396	1432	2175
397	1434	2170
398	1437	2165
399	1440	2161
400	1443	2156
401	1446	2152
402	1450	2148
403	1453	2143
404	1456	2139
405	1459	2135
406	1462	2130
407	1465	2126
408	1468	2122
409	1471	2117
410	1474	2113
411	1478	2109
412	1481	2104
413	1484	2100
414	1487	2096
415	1490	2091
416	1493	2087
417	1496	2083
418	1498	2078
419	1502	2074
420	1505	2070
421	1508	2066
422	1511	2062
423	1514	2057
424	1517	2053
425	1520	2049
426	1523	2044
427	1526	2040
428	1530	2036
429	1533	2032
