iter	RMSE
180	0.5271618004
181	0.5268619371
182	0.5262792561
183	0.525661694
184	0.5253337233
185	0.5248455566
186	0.5241202211
187	0.5236659249
188	0.5233057685
189	0.5227547022
190	0.5223956771
191	0.5218752527
192	0.5214865466
193	0.5210692288
194	0.5208168093
195	0.5204922007
196	0.5201860606
197	0.5200517171
198	0.5194804882
199	0.5190412932
200	0.5188146451
201	0.5186046739
202	0.5181963259
203	0.5174083505
204	0.5171399212
205	0.5164324467
206	0.5161449309
207	0.5159515704
208	0.5151618229
209	0.5146215056
210	0.5143637846
211	0.5138791806
212	0.5135108222
213	0.5131044838
214	0.5128502989
215	0.5123188823
216	0.5120135464
217	0.5116872765
218	0.5113927927
219	0.5110424126
220	0.5107728881
221	0.5100571232
222	0.5096920519
223	0.5093524228
224	0.5088765206
225	0.5085963288
226	0.5082549659
227	0.5078683596
228	0.5074315316
229	0.5070457522
230	0.5068634118
231	0.5064056349
232	0.5057285931
233	0.5053126566
234	0.5047939067
235	0.5043235855
236	0.5037718052
237	0.5034004653
238	0.5029521381
239	0.5026947532
240	0.5023781886
241	0.5016939839
242	0.5012021204
243	0.5004622008
244	0.5002829062
245	0.499829426
246	0.499472426
247	0.4990352376
248	0.4985922445
249	0.4981948653
250	0.4977199505
251	0.4972613023
252	0.4969993146
253	0.4965038413
254	0.4961000383
255	0.4957243972
256	0.4954997773
257	0.4951706002
258	0.4947287512
259	0.494385584
260	0.4939101249
261	0.4937459939
262	0.493332449
263	0.4927250792
264	0.4924854494
265	0.4922732545
266	0.4918311085
267	0.4913103772
268	0.4909498511
269	0.490599863
270	0.4901892816
271	0.4895847356
272	0.4894117334
273	0.4888624006
274	0.4885472034
275	0.488265323
276	0.4879658168
277	0.4876091015
278	0.4874342087
279	0.4872863312
280	0.4868738499
281	0.48633726
282	0.4859059189
283	0.4854336964
284	0.4849950312
285	0.4843189267
286	0.4839483748
287	0.4838395511
288	0.4833972282
289	0.4829685276
290	0.4827382733
291	0.4822927264
292	0.4818426057
293	0.4816081462
294	0.4812155808
295	0.4808332877
296	0.4806293829
297	0.4802349583
298	0.4799754081
299	0.479672174
300	0.4792819436
301	0.4788349045
302	0.4785943947
303	0.4782454525
304	0.4779399918
305	0.477754105
306	0.4775784913
307	0.477073642
308	0.4769404259
309	0.4765072563
310	0.4760445801
311	0.4755789306
312	0.4752727238
313	0.4744562172
314	0.4743378234
315	0.4740217154
316	0.4736462372
317	0.4732433034
318	0.4728769565
319	0.4723996379
320	0.4722297788
321	0.4719303238
322	0.471292448
323	0.4708146472
324	0.4701241823
325	0.4699270028
326	0.4696654265
327	0.4695177695
328	0.4692028585
329	0.4688515864
330	0.4683156363
331	0.4680831726
332	0.4679079985
333	0.4676919498
334	0.4673780659
335	0.4667569304
336	0.4666446917
337	0.4662670392
338	0.4659963906
339	0.4655962626
340	0.4649811951
341	0.4646858749
342	0.4643733444
343	0.4637531225
344	0.4635642999
345	0.4631353888
346	0.4628164937
347	0.4625224446
348	0.4621766379
349	0.4617846842
350	0.4614416812
351	0.4610821571
352	0.4605974318
353	0.4602229981
354	0.4599158524
355	0.4597729437
356	0.4594499283
357	0.4591408548
358	0.458906386
359	0.4585837447
360	0.4582923897
361	0.4579614514
362	0.4576010663
363	0.4574095973
364	0.4570114619
365	0.45654463
366	0.4563005707
367	0.4561272947
368	0.456034302
369	0.4556620666
370	0.4553500972
371	0.455012755
372	0.4547135342
373	0.4543903013
374	0.454013949
375	0.4536825019
376	0.4532014936
377	0.4529933916
378	0.4529661034
379	0.4525272859
380	0.452410536
381	0.4521569803
382	0.4518035593
383	0.4515714166
384	0.4513577963
385	0.4511005537
386	0.4508941162
387	0.4505484547
388	0.4502950605
389	0.45004431
390	0.4496961963
391	0.4496793487
392	0.4496638094
393	0.449606676
394	0.4489312538
395	0.4487441501
396	0.4484566223
397	0.4484417267
398	0.4480383836
399	0.447776536
400	0.4474102249
401	0.4471969642
402	0.4470379684
403	0.4467960963
404	0.4462056846
405	0.4456889749
406	0.445318481
407	0.4450029844
408	0.4446935745
409	0.4444089184
410	0.4440799932
411	0.4438119204
412	0.4437020448
413	0.4433480764
414	0.4430803284
415	0.4428025723
416	0.4424577511
417	0.4422037707
418	0.4421876726
419	0.4416632663
420	0.4412838362
421	0.4410547996
422	0.4408114734
423	0.4403815387
424	0.4402936249
425	0.4402803636
426	0.4398820171
427	0.439664518
428	0.4393965246
429	0.4390048702
430	0.4387256001
431	0.4384398807
432	0.4379118608
433	0.4377357576
434	0.4375693027
435	0.4375154181
436	0.4373378563
437	0.4372658376
438	0.4372513105
439	0.437076135
440	0.4367789937
441	0.4364583313
442	0.4361481233
443	0.4358939986
444	0.4356059105
445	0.4353217125
446	0.4350384671
447	0.4350266395
448	0.4345799233
449	0.4345249575
450	0.4342657426
451	0.4340152456
452	0.4337014589
453	0.4334719248
454	0.4331687343
455	0.4329323883
456	0.4327055209
457	0.4326208351
458	0.432292407
459	0.4321295211
460	0.4318653409
461	0.4316237884
462	0.4312853151
463	0.4311632432
464	0.4307418137
465	0.4306371794
466	0.4302746254
467	0.4298003584
468	0.4296079178
469	0.4293549238
470	0.4288930217
471	0.4285499073
472	0.4283398874
473	0.4280534412
474	0.4277506109
475	0.4273878801
476	0.4270430172
477	0.4269385306
478	0.4265986709
479	0.4262753596
480	0.42595977
481	0.4257059011
482	0.4252816511
483	0.4251083325
484	0.4248994384
485	0.42465415
486	0.424452474
487	0.4238989003
488	0.4236758168
489	0.4233586842
490	0.4231725044
491	0.4229309129
492	0.4226896459
493	0.4223876111
494	0.4222295255
495	0.4219853612
496	0.4217306861
497	0.4214828477
498	0.4211695313
499	0.4209369907
500	0.4204300255
501	0.4202130841
502	0.4199344964
503	0.4195917555
504	0.4192989982
505	0.419211065
506	0.4191784299
507	0.4189440352
508	0.4185924723
509	0.4184642061
510	0.4182317088
511	0.4180045404
512	0.4177639424
513	0.4173646442
514	0.4173327464
515	0.4170154021
516	0.4167504014
517	0.4165052607
518	0.4162727036
519	0.415773369
520	0.4156022428
521	0.4153815646
522	0.4151409183
523	0.4148920774
524	0.4146815329
525	0.4144309064
526	0.4142165009
527	0.4140555629
528	0.4139463202
529	0.4135405021
530	0.4132955884
531	0.4130588379
532	0.4127913182
533	0.412598583
534	0.412378897
535	0.4122335996
536	0.4117429751
537	0.4112852222
538	0.4110998143
539	0.4109184558
540	0.4106969544
541	0.4102114565
542	0.4098306475
543	0.409668918
544	0.4093666993
545	0.4090817618
546	0.4087043059
547	0.4084826373
548	0.4083011207
549	0.4080905042
550	0.4077738205
551	0.4075509196
552	0.4073780559
553	0.4070609564
554	0.4067209456
555	0.4063166321
556	0.4062610955
557	0.4061227468
558	0.4059247075
559	0.405527319
560	0.4053997686
561	0.4052837927
562	0.4051412738
563	0.4048809346
564	0.4047315368
565	0.4046013353
566	0.4042880343
567	0.4041175388
568	0.4040687385
569	0.4037377783
570	0.4034440155
571	0.4032746188
572	0.4029976996
573	0.4028722779
574	0.4027347722
575	0.4024030013
576	0.4022042225
577	0.4019442581
578	0.4016244908
579	0.4014992072
580	0.4011059216
581	0.4009031729
582	0.4005649228
583	0.4003627724
584	0.4001470607
585	0.3999033791
586	0.3995558022
587	0.3993222148
588	0.3990514384
589	0.3988406021
590	0.39858965
591	0.398449106
592	0.3979426609
593	0.3977121111
594	0.3975406045
595	0.3974267402
596	0.39714122
597	0.3969132984
598	0.3967693025
599	0.3966209219
600	0.3963611062
601	0.3961959609
602	0.3959073069
603	0.3957984664
604	0.3955085915
605	0.3952825808
606	0.3951101816
607	0.3950034966
608	0.394826233
609	0.3946948241
610	0.3943506197
611	0.3941091568
612	0.3939690032
613	0.3939478681
614	0.393600866
615	0.3934186613
616	0.3932647867
617	0.3931568917
618	0.3929727795
619	0.3927268055
620	0.3923102883
621	0.3920735746
622	0.3917142203
623	0.3914905627
624	0.3912249351
625	0.3909043728
626	0.3905098726
627	0.3901555339
628	0.3899052741
629	0.3895524771
630	0.3892932622
631	0.3891021438
632	0.3889577371
633	0.3885670233
634	0.3883591944
635	0.3881884521
636	0.3880778605
637	0.3878634257
638	0.3876699706
639	0.3874933398
640	0.3872353944
641	0.3871129455
642	0.3868777021
643	0.3867106164
644	0.3864579177
645	0.3862767043
646	0.3859563854
647	0.3857597726
648	0.3854494318
649	0.3852938641
650	0.3852108451
651	0.3849825454
652	0.3846718043
653	0.3844739377
654	0.384184817
655	0.3840040264
656	0.3838231756
657	0.3836631494
658	0.3834889889
659	0.3829956467
660	0.3825518206
661	0.3823692101
662	0.3821267917
663	0.3819324756
664	0.3817301438
665	0.3816600476
666	0.3815318675
667	0.3814532945
668	0.3812243779
669	0.3809374933
670	0.3806750243
671	0.3805596594
672	0.3802036433
673	0.3801331056
674	0.3798688924
675	0.379726427
676	0.3796457361
677	0.3796241051
678	0.3793806277
679	0.3789464656
680	0.3788984979
681	0.3785858735
682	0.3785055059
683	0.3782964034
684	0.3780397908
685	0.3777491944
686	0.3775602131
687	0.377481569
688	0.377271829
689	0.3770700245
690	0.3769242871
691	0.3766788325
692	0.3764907819
693	0.3761642985
694	0.3760358375
695	0.375972119
696	0.3758193116
697	0.37557659
698	0.3752964406
699	0.3752115409
700	0.3750205279
701	0.3747914452
702	0.3745948621
703	0.3744044061
704	0.3742210449
705	0.3740535714
706	0.3739301689
707	0.3736283
708	0.3735639979
709	0.3735495842
710	0.373312456
711	0.3731178625
712	0.3728921761
713	0.3726733605
714	0.3725040248
715	0.3723523741
716	0.3722184012
717	0.3721094283
718	0.3720364331
719	0.3718691101
720	0.3717032764
721	0.37159003
722	0.3712716903
723	0.3711179981
724	0.3708787354
725	0.3706996458
726	0.3704905144
727	0.3703448524
728	0.3700944779
729	0.3699772231
730	0.3697221408
731	0.3694677318
732	0.3692846381
733	0.3689445355
734	0.3686247217
735	0.3684165369
736	0.3682347704
737	0.3680035365
738	0.3677431703
739	0.3675561781
740	0.3673152781
741	0.3670320746
742	0.3668869095
743	0.3666863039
744	0.3665540714
745	0.3661865649
746	0.3657261896
747	0.3655027562
748	0.3653999546
749	0.3653281925
750	0.3651003544
751	0.3649155232
752	0.3647573319
753	0.3645770426
754	0.3644298469
755	0.3644169685
756	0.3642198216
757	0.3640391417
758	0.3639370148
759	0.363605462
760	0.3633668593
761	0.3630579062
762	0.3628024424
763	0.3626050489
764	0.362517881
765	0.3622801445
766	0.3621559097
767	0.3620307298
768	0.3618992505
769	0.3617717379
770	0.361672661
771	0.3614973061
772	0.361439566
773	0.3613411567
774	0.3612948058
775	0.3612259092
776	0.3610693251
777	0.3610100107
778	0.3608712955
779	0.360653502
780	0.3605405485
781	0.3604329584
782	0.3603803788
783	0.3602538174
784	0.3598791289
785	0.3597417484
786	0.3595206759
787	0.3592851983
788	0.3590337434
789	0.3588534501
790	0.3586730598
791	0.3585302434
792	0.3582805303
793	0.3580547193
794	0.3580185248
795	0.357831788
796	0.3576131195
797	0.3574538124
798	0.3572657356
799	0.356955418
800	0.3567878715
801	0.3565419066
802	0.3563370988
803	0.3561229524
804	0.3559206383
805	0.3558051162
806	0.3557713835
807	0.3554933746
808	0.3553659983
809	0.3550955152
810	0.3549146578
811	0.3549095492
812	0.3548381968
813	0.3544743176
814	0.354180381
815	0.3539889938
816	0.3538858007
817	0.3537757064
818	0.3536916819
819	0.3535586711
820	0.353480472
821	0.3534433478
822	0.3533081221
823	0.3531936125
824	0.3530198965
825	0.3527271579
826	0.3524889467
827	0.3522077658
828	0.3518427276
829	0.3516521782
830	0.3515121196
831	0.3513025609
832	0.3511767404
833	0.3511126264
834	0.350920191
835	0.3506636201
836	0.35042793
837	0.3503028369
838	0.350110914
839	0.3500781491
840	0.3499570668
841	0.349726206
842	0.3496424109
843	0.3495669621
844	0.3493752569
845	0.3492294661
846	0.3490265904
847	0.348826956
848	0.3486050779
849	0.3484860069
850	0.3484758678
851	0.3482666379
852	0.348098252
853	0.3480880757
854	0.3480115204
855	0.3478562823
856	0.3477466539
857	0.3476989577
858	0.3476730631
859	0.3475918207
860	0.3475691924
861	0.3475053101
862	0.3473052866
863	0.3471363778
864	0.3468626945
865	0.3467737
866	0.346704778
867	0.3466112012
868	0.3464125818
869	0.3461334128
870	0.3459737358
871	0.345943812
872	0.345841076
873	0.345786996
874	0.3456764679
875	0.3454833399
876	0.3452884562
877	0.3451385134
878	0.3448724904
879	0.3447957878
880	0.3447815874
881	0.344534269
882	0.3442771917
883	0.3440926098
884	0.3439242995
885	0.3438173012
886	0.3436971116
887	0.3435309691
888	0.3434623015
889	0.3433695369
890	0.3431522965
891	0.343133558
892	0.3428622529
893	0.3428523094
894	0.3427698018
895	0.3427446704
896	0.3424154946
897	0.3421515024
898	0.3419636768
899	0.3418444711
900	0.3415944057
901	0.3413872688
902	0.3412173289
903	0.3410498922
904	0.3409833942
905	0.3408572539
906	0.3408370763
907	0.340760473
908	0.3407559001
909	0.3404999315
910	0.3404855794
911	0.3404376189
912	0.3402661712
913	0.3401785116
914	0.3399932883
915	0.339957415
916	0.3398663166
917	0.3397003
918	0.339558236
919	0.339385399
920	0.3392794096
921	0.3390429285
922	0.3388271151
923	0.3387234075
924	0.3386243321
925	0.3384795087
926	0.3383787559
927	0.3382842731
928	0.3382103614
929	0.3381159351
930	0.3379066121
931	0.3377141929
932	0.3376252851
933	0.3374795634
934	0.3374500051
935	0.337358691
936	0.337168283
937	0.3369403581
938	0.3367693638
939	0.3365868192
940	0.3365054315
941	0.3363595217
942	0.33615305
943	0.3361022173
944	0.3359894129
945	0.3358910283
946	0.335669822
947	0.3355825753
948	0.3355572978
949	0.3353430269
950	0.335195707
951	0.3349918201
952	0.3348624034
953	0.3347533116
954	0.3345772656
955	0.3344355868
956	0.3343719756
957	0.3341199122
958	0.3339617566
959	0.3337401219
960	0.3335562343
961	0.3334685332
962	0.3333682266
963	0.3332593617
964	0.3331167297
965	0.3329431477
966	0.3329362973
967	0.3328258473
968	0.3327259184
969	0.3325755288
970	0.3323151596
971	0.332281078
972	0.3320508919
973	0.3319118527
974	0.331841935
975	0.3317362971
976	0.3315689697
977	0.3313801012
978	0.3313229711
979	0.3312723691
980	0.3310841462
981	0.3309336298
982	0.3307300551
983	0.3305781535
984	0.3302668407
985	0.3300945939
986	0.3300819715
987	0.3299905672
988	0.3298488031
989	0.3296110083
990	0.3294748599
991	0.3294591566
992	0.3293018339
993	0.3291628248
994	0.3290423968
995	0.3289314403
996	0.32891917
997	0.3286963738
998	0.3286195864
999	0.3283386359
